Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0402_1005Metric,125.5395,-87.503,180,top
C2,12pF,C_0402_1005Metric,125.5395,-89.281,180,top
C3,4.7uF,C_0603_1608Metric,126.9111,-83.5406,270,top
C4,1uF,C_0603_1608Metric,130.4544,-83.5533,90,top
C5,100nF,C_0402_1005Metric,134.3025,-92.5576,270,top
C6,100nF,C_0402_1005Metric,133.23316,-89.2302,270,top
C7,100nF,C_0402_1005Metric,135.763,-83.439,270,top
C8,100nF,C_0402_1005Metric,134.239,-84.7852,90,top
C9,100nF,C_0402_1005Metric,147.0152,-95.631,270,top
C10,47pF,C_0402_1005Metric,143.9926,-112.8014,90,top
C11,47pF,C_0402_1005Metric,140.5128,-112.8014,90,top
C12,100nF,C_0402_1005Metric,138.43,-110.617,90,top
C13,100nF,C_0402_1005Metric,137.16,-110.617,90,top
C14,100nF,C_0402_1005Metric,134.2644,-76.0349,270,top
C15,100nF,C_0402_1005Metric,106.8199,-111.6306,270,top
C16,10uF,C_0603_1608Metric,104.6609,-109.9669,180,top
C17,10uF,C_0603_1608Metric,104.6609,-111.6052,180,top
C18,10uF,C_0603_1608Metric,104.6609,-113.2943,180,top
C19,100nF,C_0402_1005Metric,145.161,-116.7638,0,top
C20,100nF,C_0402_1005Metric,145.161,-114.6302,0,top
C21,4.7uF,C_0603_1608Metric,145.4658,-112.2426,90,top
C22,10uF,C_0603_1608Metric,140.7414,-109.3978,180,top
C23,10uF,C_0603_1608Metric,140.7414,-107.8992,180,top
C24,1uF,C_0603_1608Metric,140.7414,-106.4006,180,top
C25,100nF,C_0402_1005Metric,144.78,-105.537,0,top
C26,1uF,C_0603_1608Metric,148.59,-116.205,0,top
C27,1uF,C_0603_1608Metric,151.003,-100.1395,0,top
C28,1uF,C_0603_1608Metric,151.892,-110.236,0,top
C29,1uF,C_0603_1608Metric,151.003,-94.2975,0,top
C30,22uF,R_0805_2012Metric,147.0914,-103.251,270,top
C31,22uF,R_0805_2012Metric,145.0848,-103.251,270,top
C32,22uF,R_0805_2012Metric,149.098,-103.251,270,top
C33,100nF,C_0402_1005Metric,106.8199,-109.624,90,top
D1,YELLOW,LED_0805_2012Metric,134.874,-120.523,270,top
D2,RED,LED_0805_2012Metric,132.207,-120.523,270,top
D3,RED,LED_0805_2012Metric,151.3078,-82.6262,0,top
D4,RED,LED_0805_2012Metric,148.717,-113.538,90,top
D5,SS14,D_SMA,133.096,-112.141,270,top
Q1,S8050,SOT-23,116.459,-87.9094,270,top
Q2,S8050,SOT-23,151.257,-85.8012,270,top
Q3,Si2301CDS,SOT-23,150.368,-106.807,270,top
Q4,S8050,SOT-23,111.0871,-97.0256,0,top
R1,10k,R_0402_1005Metric,148.082,-78.613,0,top
R3,10k,R_0402_1005Metric,134.4422,-89.2302,90,top
R4,1k,R_0402_1005Metric,148.082,-79.9465,180,top
R5,10k,R_0402_1005Metric,133.6548,-81.2546,0,top
R6,10k,R_0402_1005Metric,133.6548,-82.5246,0,top
R7,4.7k,R_0402_1005Metric,114.5923,-97.4701,90,top
R10,1k,R_0402_1005Metric,135.9154,-110.6424,270,top
R11,47k,R_0402_1005Metric,113.4493,-97.4701,90,top
R12,330,R_0402_1005Metric,134.874,-122.7836,180,top
R13,330,R_0402_1005Metric,132.207,-122.7836,0,top
R14,1k,R_0402_1005Metric,120.8024,-90.6018,270,top
R15,1k,R_0402_1005Metric,122.682,-90.6018,270,top
R16,5k6,R_0402_1005Metric,119.5832,-90.6018,270,top
R17,4.7k,R_0402_1005Metric,119.9642,-87.1474,270,top
R18,4.7k,R_0402_1005Metric,150.2918,-89.2556,270,top
R19,47k,R_0402_1005Metric,118.7958,-87.1474,270,top
R20,47k,R_0402_1005Metric,151.4348,-89.2556,270,top
R21,10k,R_0402_1005Metric,115.951,-91.1352,0,top
R22,330,R_0402_1005Metric,152.527,-89.2556,270,top
R23,1k,R_0402_1005Metric,115.57,-74.9808,270,top
R24,1k,R_0402_1005Metric,118.11,-74.9554,270,top
R25,5k6,R_0402_1005Metric,120.015,-75.4634,180,top
R26,100k,R_0603_1608Metric,146.177,-119.761,270,top
R27,330,R_0402_1005Metric,149.225,-111.125,0,top
R28,2k,R_0402_1005Metric,147.193,-110.998,90,top
R29,10k,R_0402_1005Metric,149.225,-109.982,180,top
R30,1M,R_0603_1608Metric,140.97,-99.949,0,top
R31,150k,R_0603_1608Metric,144.78,-99.568,0,top
R32,1M,R_0603_1608Metric,140.97,-98.425,0,top
R33,10k,R_0402_1005Metric,110.033,-94.0157,270,top
U2,CAT24C256,SOIC-8_3.9x4.9mm_P1.27mm,129.5146,-77.3049,270,top
U8,TPS63020,QFN14_P0.5_4.15x3.15_wThermalVias,141.0589,103.1494,270,top
